normalized_form	reading	japanese_text	english_text
目隠し	メカクシ	目隠しをされてたの？	Were you blindfolded?
組	クミ	何組なの？	Which class are you in?
どう	ド	そのあと君はどしたの？	What did you do then?
何曜	ナンヨウ	今日、何曜日？	What day is it today?
鴎	カモメ	カモメは何を食べるの？	What do seagulls eat?
悩む	ナヤム	トムは何を悩んでるの？	What's bothering Tom?
バスケット	バスケット	私たちは昨日バスケットをした。	We played basketball yesterday.
積む	ツム	トムは車に銃を積んでいる。	Tom has a gun in his car.
籠	カゴ	籠の中には何もない。	There's nothing in the basket.
停車駅	テイシャエキ	次の停車駅はどこですか。	What's the next stop?
完成	カンセイ	いつ完成したのですか。	When was it finished?
締め切り	シメキリ	締切りは月曜日です。	The deadline is Monday.
いつ頃	イツゴロ	いつ頃着きますか。	When will they arrive?
クリーニング屋	クリーニングヤ	クリーニング屋はどこですか？	Where is the laundry?
売り場	ウリバ	CD売り場はどこですか？	Where can I buy a CD?
場	バ	洗濯場はどこですか？	Where is the laundry?
ポスト	ポスト	ポスト争いは厳しい。	Competition for the position is very intense.
待ち合わせ	マチアワセ	駅で待ち合わせしようね。	Let's meet at the station.
訪れる	オトズレル	好機は二度訪れない。	Opportunity seldom knocks twice.
麦藁帽子	ムギワラボウシ	僕の麦わら帽子はどこ？	Where's my straw hat?
お手洗い	オテアライ	お手洗いはどこですか？	Where's the bathroom?
洗面所	センメンジョ	洗面所はどこですか？	Where's the washroom?
旦那	ダンナ	旦那様はどこ？	Where's your husband?
植える	ウエル	松の木を植えたんだよ。	I planted a pine tree.
発明	ハツメイ	必要は発明の母。	Necessity is the mother of invention.
何者	ナニモノ	一体、あなたは何者なの？	Who on earth are you?
ソーダ	ソーダ	誰がソーダをこぼしたの？	Who spilled the soda?
ホームラン	ホームラン	誰が一番ホームランを打ったの？	Who hit the most home runs?
葉っぱ	ハッパ	どうして葉っぱは、緑色なの？	Why are leaves green?
裸足	ハダシ	どうして裸足なの？	Why are you barefoot?
回転	カイテン	彼は頭の回転が速い。	He has a good head on his shoulders.
躊躇う	タメラウ	躊躇うものは失敗する。	He who hesitates is lost.
ふく	フキ	顔を奇麗にふきなさい。	Wipe your face clean.
限る	カギル	君が勝つとは限らない。	You may or may not win.
腰抜け	コシヌケ	お前は腰抜けなんかじゃないよ。	You are not a coward.
干渉	カンショウ	干渉しないで。	You keep out of this.
謝罪	シャザイ	君は謝罪すべきだ。	You should apologize.
推測	スイソク	単なる推測だろ。	You're just guessing.
垂れる	タレル	鼻水がたれているよ。	Your nose is running.
正常	セイジョウ	体温は正常です。	Your temperature's normal.
荷物	ニモツ	荷物が届いた。	A package has arrived.
小耳	コミミ	小耳に挟んだよ。	A little bird told me.
人伝て	ヒトヅテ	人づてに聞いたよ。	A little bird told me.
付き物	ツキモノ	犠牲はつきものさ。	Casualties are expected.
ブラッディー	ブラッディー	ブラッディーマリーをください。	A Bloody Mary, please.
マリー	マリー	トムはマリーに賛同しない。	Tom doesn't agree with Mary.
持つ	モツ	僕が持つよ。	Let me carry it for you.
不測	フソク	不測の事態は起こるもの。	Accidents will happen.
事態	ジタイ	事態は急変した。	There was a sudden change in the situation.
新入生	シンニュウセイ	新入生の方ですか？	Are you a new student?
口説く	クドイ	私のこと、口説いてるの？	Are you hitting on me?
減量	ゲンリョウ	減量中なの？	Are you losing weight?
ハイヒール	ハイヒール	ハイヒール履いてるの？	Are you wearing heels?
当時	トウジ	当時私は学生だった。	I was a student at that time.
悪事	アクジ	悪事千里を走る	Bad news travels fast.
千里	センリ	悪事千里を走る	Bad news travels fast.
哺乳瓶	ホニュウビン	哺乳瓶は煮沸消毒すること。	Boil the milk bottles.
消毒	ショウドク	哺乳瓶は煮沸消毒すること。	Boil the milk bottles.
煮沸	シャフツ	哺乳瓶は煮沸消毒すること。	Boil the milk bottles.
労る	イタワル	老人をいたわりなさい。	Be kind to old people.
掏摸	スリ	スリに注意。	Beware of pickpockets.
年寄り	トシヨリ	彼女はお年寄りに親切です。	She is kind to old people.
やさしい	ヤサシク	お年寄りにはやさしくしなさい。	Be kind to old people.
ハンマー	ハンマー	このハンマーを使うな。	Don't use this hammer.
絞る	シボル	おしぼり持ってきて。	Bring me a damp towel.
果たして	ハタシテ	そのうわさは果たして本当だろうか。	Can the rumor be true?
石炭	セキタン	石炭は化石燃料だ。	Coal is a fossil fuel.
化石	カセキ	石炭は化石燃料だ。	Coal is a fossil fuel.
日向ぼっこ	ヒナタボッコ	猫が日向ぼっこしてたよ。	The cat was basking in the sun.
示す	シメス	コンパスは北を示す。	Compasses point north.
コンパス	コンパス	コンパスは北を示す。	Compasses point north.
甲殻類	コウカクルイ	蟹は甲殻類だよ。	Crabs are crustaceans.
蟹	カニ	蟹は甲殻類だよ。	Crabs are crustaceans.
御襁褓	オムツ	オムツは高いね。	Diapers are expensive.
預ける	アズケル	鍵は私に預けたら？	Why don't you leave your key with me?
申し込む	モウシコム	奨学金を申し込むつもりだよ。	I'm going to apply for a scholarship.
出向く	デムク	私がそこに出向く必要がありますか。	Do I need to go there?
乗り換え	ノリカエ	乗り換えは必要ですか。	Do I need to transfer?
パートナー	パートナー	パートナーはいますか？	Do you have a partner?
プリンター	プリンタ	プリンター持ってる？	Do you have a printer?
空き部屋	アキベヤ	空き部屋はありますか。	Do you have a vacancy?
イヤホン	イヤホン	イヤホン持ってる？	Do you have earphones?
単語	タンゴ	難しい単語です。	It's a difficult word.
土弄り	ツチイジリ	土いじりは好きかい？	Do you like gardening?
ガーデニング	ガーデニング	ガーデニングは好き？	Do you like gardening?
サイズ	サイズ	靴のサイズはいくつ？	What's your shoe size?
ルートビア	ルートビア	ルートビアって、好き？	Do you like root beer?
庭弄り	ニワイジリ	庭いじりは好き？	Do you like gardening?
ホットドッグ	ホットドッグ	ホットドッグが欲しいの？	Do you want a hot dog?
醜い	ミニクイ	私を醜いと思いますか。	Do you think I'm ugly?
入浴剤	ニュウヨクザイ	入浴剤は使ってる？	Do you use bath salts?
プレッツェル	ブレッツェル	ブレッツェル、食べる？	Do you want a pretzel?
プレッツェル	プレッツェル	プレッツェル、欲しい？	Do you want a pretzel?
スカーフ	スカーフ	トムってスカーフ持ってるの？	Does Tom have a scarf?
マフラー	マフラー	トムってマフラー持ってる？	Does Tom have a scarf?
サイクリング	サイクリング	私はサイクリングに行きたいな。	I'd like to go cycling.
つめ	ツメ	つめを噛むんじゃない。	Don't bite your nails.
包み紙	ツツミガミ	包み紙は食べちゃダメよ。	Don't eat the wrapper.
て	ッチャ	目をつむっちゃ駄目。	Don't close your eyes.
つむ	ツム	目をつむっちゃ駄目。	Don't close your eyes.
抱き上げる	ダキアゲ	猫を抱き上げてはだめよ。	Don't pick up the cat.
他人	タニン	他人より身内。	Blood is thicker than water.
漏らす	モラス	彼女は秘密をもらした。	She let the secret out.
不用意	フヨウイ	不用意に秘密を洩らしちゃだめだよ。	Don't spill the beans.
抓る	ツネラ	僕のほっぺつねらないで！	Don't pinch my cheeks.
深刻	シンコク	深刻な問題だな。	It's a serious problem.
口答え	クチゴタエ	口答えするな。	Don't talk back to me.
ベルト	ベルト	それ、私があげたベルト？	Is that the belt I gave you?
想定	ソウテイ	想定の範囲外だ。	I never imagined anything like this.
想定外	ソウテイガイ	想定外を想定せよ。	Expect the unexpected.
大陸	タイリク	ヨーロッパは大陸です。	Europe is a continent.
不可能	フカノウ	それはほとんど不可能だ。	It is next to impossible.
奇遇	キグウ	まさかこんなところでお会いするとは、奇遇ですね。	Fancy seeing you here.
其々	ソレゾレ	人それぞれです。	Everyone is different.
シートベルト	シートベルト	シートベルトするの忘れてた。	I forgot to put on my seatbelt.
着ける	ツケ	時間通りには着けないよ。	You won't get there on time.
創造	ソウゾウ	神が世界を創造した。	God created the world.
鍵束	カギタバ	私の鍵束を見かけなかった？	Have you seen my keys?
FAQ	エフエーキュー	FAQは読まれましたか？	Have you read the FAQ?
読み	ヨミ	「よくある質問」はお読みになりましたか？	Have you read the FAQ?
聖者	セイジャ	彼は聖者のようにふるまった。	He acted like a saint.
放棄	ホウキ	その計画は放棄された。	The plans were discarded.
舞台	ブタイ	彼は舞台に立った。	He acted on the stage.
左腕	サワン	彼は左腕を骨折した。	He broke his left arm.
つとめる	ツトメ	彼は私の通訳をつとめてくれた。	He interpreted for me.
住居	ジュウキョ	彼は住居に侵入した。	He broke into a house.
侵入	シンニュウ	彼は住居に侵入した。	He broke into a house.
呼ばわり	ヨバワリ	私を泥棒呼ばわりするの？	Are you calling me a thief?
読み書き	ヨミカキ	彼は読み書きができる。	He can read and write.
自力	ジリキ	彼は自力で食べれない。	He can't feed himself.
イギリス	イギリス	彼はイギリス出身である。	He comes from England.
追い払う	オイハラッ	彼はその犬を追い払った。	He drove the dog away.
中古車	チュウコシャ	彼は中古車を扱っている。	He deals in used cars.
扱う	アツカウ	彼は扱いにくい。	He is hard to deal with.
横断	オウダン	彼は道路を横断した。	He crossed the street.
家具屋	カグヤ	彼は家具屋だ。	He deals in furniture.
大いに	オオイニ	彼はおおいに稼ぐ。	He earns a great deal.
値	アタイ	彼はその賞に値する。	He deserves the prize.
大金	タイキン	大金を運んでるの？	Are you carrying a lot of money?
10000	イチマン	１万円でたりる？	Will ten thousand yen do?
高給	コウキュウ	弁護士は高給取りだ。	Lawyers are well paid.
保証人	ホショウニン	彼が借金の保証人になってくれた。	He guaranteed my debt.
うつす	ウツサ	彼にひどい風邪をうつされた。	He gave me a bad cold.
90	キュウレイ	直角は９０度である。	A right angle has ninety degrees.
日本製	ニホンセイ	この車は日本製だ。	This car was made in Japan.
たんまり	タンマリ	副業でたんまり儲けたんだ。	I made a lot of money on the side.
絶対的	ゼッタイテキ	彼は絶対的な権力を持っている。	He has absolute power.
知恵	チエ	彼は知恵のある人だ。	He is a man of wisdom.
実行力	ジッコウリョク	彼は実行力のある人です。	He is a man of action.
行動力	コウドウリョク	彼は行動力がある。	He is a man of action.
賢者	ケンジャ	彼は賢者だ。	He is a man of wisdom.
助言	ジョゲン	ご助言、感謝します。	I appreciate your advice.
人物	ジンブツ	彼は立志伝中の人物だ。	He is a self-made man.
立志伝	リッシデン	彼は立志伝中の人物だ。	He is a self-made man.
通訳	ツウヤク	トムって通訳なんだよ。	Tom is an interpreter.
朗らか	ホガラカ	彼はいつも朗らかだ。	He is always cheerful.
陽気	ヨウキ	彼はいつも陽気だ。	He is always cheerful.
士官	シカン	彼は陸軍士官だ。	He is an army officer.
データ	データ	彼はデータを集めている。	He is collecting data.
狂	キョウ	彼は音楽狂だ。	He is mad about music.
窃盗	セットウ	彼には窃盗の罪がある。	He is guilty of theft.
只者	タダモノ	あいつはただ者ではない。	He is no ordinary man.
親しい	シタシイ	彼は親しい友人だ。	He is my close friend.
偽る	イツワル	彼は年齢を偽った。	He lied about his age.
非常識	ヒジョウシキ	彼は非常識だ。	He lacks common sense.
ハムエッグ	ハムエッグ	彼はハムエッグが好きです。	He likes ham and eggs.
飛び出す	トビダス	彼は家を飛び出した。	He ran away from home.
名刺	メイシ	名刺、持ってる？	Do you have a business card?
転がり落ちる	コロガリオチ	彼はベッドから転がり落ちた。	He rolled off the bed.
家出	イエデ	彼は家出をした。	He ran away from home.
女優	ジョユウ	彼は女優と結婚した。	He married an actress.
踏み消す	フミケシ	彼は火を踏み消した。	He stamped out a fire.
整理	セイリ	荷物を整理したいのですが。	I'd like to put my belongings away.
傾向	ケイコウ	彼は怠ける傾向がある。	He's inclined to be lazy.
新生活	シンセイカツ	彼は新生活を始めた。	He started a new life.
片付け	カタヅケ	彼は部屋の片付けをした。	He tidied up his room.
寝返り	ネガエリ	彼は寝返りをうった。	He turned over in bed.
うつ	ウッ	彼は寝返りをうった。	He turned over in bed.
前方	ゼンポウ	彼は私の前方を歩いた。	He walked ahead of me.
アフリカ	アフリカ	彼はアフリカで生まれた。	He was born in Africa.
跛	ビッコ	彼はびっこを引いていた。	He walked with a limp.
気難しい	キムズカシイ	彼は気難しかった。	He was hard to please.
真後ろ	マウシロ	彼は私の真後ろにいた。	He was just behind me.
丘	オカ	学校は丘の上だ。	The school is on the hill.
青年	セイネン	青年は失恋した。	The young man was disappointed in love.
教職	キョウショク	彼は教職に就いた。	He went into teaching.
風変わり	フウガワリ	トムは風変わりな老人だ。	Tom is a cranky old man.
同然	ドウゼン	彼は赤子同然だ。	He's just like a baby.
商用	ショウヨウ	彼は商用で旅をした。	He traveled on business.
赤子	アカゴ	彼は赤子同然だ。	He's just like a baby.
一風	イップウ	彼って一風変わった人だよね。	He's a strange person.
底抜け	ソコヌケ	彼は底抜けの馬鹿だ。	He's an absolute fool.
デオドラント	デオドラント	はい、デオドラント。	Here's some deodorant.
説得力	セットクリョク	彼の話は説得力がある。	His story sounds true.
尤も	モットモ	お怒りはごもっともです。	I understand your anger.
きく	キキ	おい、口のきき方に気をつけろ。	Hey, watch your mouth.
捏ち上げ	デッチアゲ	彼の話はでっち上げだ。	His story was made up.
琵琶湖	ビワコ	琵琶湖は日本最大の湖です。	Lake Biwa is the largest lake in Japan.
増やす	フヤス	彼は貯金を増やした。	He added to his savings.
なれる	ナレル	私を愛せるようになれる？	Can you learn to love me?
箇月	カゲツ	妊娠４か月です。	I'm four months pregnant.
重さ	オモサ	雪の重さで家がつぶれた。	The house collapsed under the weight of snow.
搾乳	サクニュウ	牛の搾乳ってどうやるの？	How do you milk a cow?
位	クライ	どれ位かかりますか。	How long will it take?
麦粉	ムギコ	ライ麦粉はいくらですか？	How much is rye flour?
ライ	ライ	ライ麦粉はいくらですか？	How much is rye flour?
名	ナ	彼女は名演説をした。	She made a good speech.
何人	ナンニン	何人兄弟なの？	How many brothers do you have?
負傷者	フショウシャ	負傷者は何人でしたか？	How many were injured?
いか	イカ	この指輪、いかほどですか？	How much is this ring?
道幅	ミチハバ	彼らは道幅を広げた。	They widened the road.
吹き消す	フキケシ	トムは蝋燭を吹き消した。	Tom blew out the candles.
追加	ツイカ	一覧に追加し忘れてた。	I forgot to add that to my list.
ダース	ダース	卵が半ダースある。	We have a half-dozen eggs.
何枚	ナンマイ	服を何枚か買ったよ。	I bought some clothes.
着	キ	作業着に着替えなきゃ。	I have to change into my work clothes.
縦列	ジュウレツ	縦列駐車が苦手なのよ。	I'm not good at parallel parking.
テキーラ	テキーラ	テキーラは飲めないんだ。	I can't drink tequila.
モチベーション	モチベーション	モチベーションが失せた。	I've lost my motivation.
持ち上がる	モチアガラ	この箱が持ち上がらないんだよ。	I can't lift this box.
ドイツ語	ドイツゴ	ドイツ語は話せません。	I cannot speak German.
最終バス	サイシュウバス	最終バスに間に合ったよ。	I caught the last bus.
薪割り	マキワリ	トムは薪割りしてるよ。	Tom is chopping firewood.
番号	バンゴウ	番号が違いますよ。	You have the wrong number.
ジョーク	ジョーク	彼のジョークに笑ったよ。	I laughed at his joke.
標識	ヒョウシキ	標識は見ませんでした。	I didn't see the sign.
ジム	ジム	今日はジムに行くの？	Are you going to the gym today?
ミント	ミント	ミントティーは、苦手なのよ。	I don't like mint tea.
考え方	カンガエカタ	トムの考え方、好きだな。	I like the way Tom thinks.
飛び込む	トビコム	僕は川に飛び込んだ。	I dove into the river.
語	ゴ	僕は三カ国語を話す。	I speak three languages.
スウェーデン	スウェーデン	私はスウェーデン語を話せません。	I don't speak Swedish.
むかつく	ムカツイ	ムカついてきた。	I started to get annoyed.
縄梯子	ナワバシゴ	縄梯子、見っけ。	I've found the rope ladder.
生まれ変わる	ウマレカワッ	生まれ変わった気分だよ。	I feel like a new man.
うつす	ウツシ	私は彼に風邪をうつした。	I gave my cold to him.
飴玉	アメダマ	私は彼女にアメ玉を出してあげた。	I gave her some candy.
テキスト	テキスト	トムからテキストを受け取ったよ。	I got a text from Tom.
奨学金	ショウガクキン	奨学金をもらいました。	I got the scholarship.
大幅	オオハバ	給料が大幅に上がったんだ。	I got a big pay raise.
濡れ鼠	ヌレネズミ	僕は濡れねずみになった。	I got wet to the skin.
占う	ウラナウ	私は運勢を占ってもらった。	I had my fortune told.
運勢	ウンセイ	私は運勢を占ってもらった。	I had my fortune told.
仕立てる	シタテル	そのスーツはどこで仕立てたの？	Where did you have the suit made?
間一髪	カンイッパツ	間一髪で助かったんだよ。	I had a narrow escape.
雪掻き	ユキカキ	雪かき大っ嫌い。	I hate shoveling snow.
ルックス	ルックス	私は自分のルックスが嫌いだ。	I hate the way I look.
利用	リヨウ	彼らは図書館を利用できる。	They have access to the library.
図書	トショ	図書カードあるよ。	I have a library card.
観光	カンコウ	観光で来てるんです。	I've come to see the sights.
親戚	シンセキ	あの人たちは親戚なの？	Are they your relatives?
持ち合わせ	モチアワセ	金の持ち合わせがない。	I have no money on me.
合鍵	アイカギ	合鍵があるよ。	I have the master key.
生命保険	セイメイホケン	私は生命保険に入っています。	I have life insurance.
マスターキー	マスターキー	マスターキーを持ってます。	I have the master key.
元妻	モトツマ	元妻は３人いるよ。	I have three ex-wives.
地下	チカ	地下に隠れました。	I hid in the basement.
すすめる	ススメ	強くおすすめします。	I highly recommend it.
個人的	コジンテキ	それって、個人的意見？	Is that a personal opinion?
パイロット	パイロット	彼はパイロットになる決意をした。	He made up his mind to be a pilot.
大勢	オオゼイ	大勢の人が見てた？	Were there many people watching?
ダーク	ダーク	ダークチョコが好きです。	I like dark chocolate.
フランス料理	フランスリョウリ	フランス料理が好きなんだ。	I like French cooking.
魚介類	ギョカイルイ	魚介類が好きなんだ。	I like eating seafood.
コットン	コットン	コットンの服が好き。	I like cotton clothes.
リキュール	リキュール	コーヒーリキュール、好きだよ。	I like coffee liqueur.
堤防	テイボウ	堤防が洪水を防いだ。	The levee kept the floodwater back.
アパート	アパート	いいアパートね。	This is a great apartment.
田舎	イナカ	僕は田舎で育った。	I grew up in the country.
主題歌	シュダイカ	その主題歌が好きなの。	I like the theme song.
ローラースケート	ローラースケート	ローラースケートが大好きです。	I love roller skating.
胡瓜	キュウリ	きゅうり嫌いなんだ。	I don't like cucumbers.
出会す	デクワシ	偶然、彼女に出くわした。	I met her by accident.
大儲け	オオモウケ	大儲けしたい。	I want to make a lot of money.
水着	ミズギ	新しい水着がいるの。	I need a new swimsuit.
マットレス	マットレス	新しいマットレスがいるな。	I need a new mattress.
凡そ	オヨソ	私はおよそ５０ドル払った。	I paid about 50 bucks.
仕舞い	ジマイ	彼の名前は分からずじまいだったな。	I never knew his name.
パス	パス	テストは全てパスした。	I passed all my tests.
植樹	ショクジュ	松の木を植樹しました。	I planted a pine tree.
オススメ	オススメ	この本、オススメよ。	I recommend this book.
牡丹	ボタン	牡丹が大好きなの。	I really like peonies.
大々	ダイダイ	花が、大大大好きなんだ。	I really love flowers.
遣り甲斐	ヤリガイ	自分の仕事にやりがいを感じています。	I really love my work.
うつ伏せ	ウツブセ	私はうつぶせに寝た。	I slept on my stomach.
日中	ニッチュウ	日中は仕事をしてます。	I work during the day.
危機	キキ	命の危機を感じた。	I felt my life was in danger.
瀕する	ヒンシ	象は絶滅の危機に瀕している。	Elephants are in danger of dying out.
魔女	マジョ	あの子、魔女じゃないかな。	I think she's a witch.
想像力	ソウゾウリョク	想像力を働かせた。	I used my imagination.
一切れ	ヒトキレ	パイ一切れちょうだい。	I want a piece of pie.
韓国	カンコク	韓国に行ってみたい。	I want to visit Korea.
びくびく	ビクビク	彼はびくびくしている。	He is afraid of his own shadow.
濡れ衣	ヌレギヌ	濡れ衣を着せられた。	I was falsely accused.
着せる	キセル	濡れ衣を着せられた。	I was falsely accused.
噎せる	ムセ	煙でむせた。	I was choked by smoke.
食わす	クワサ	あいつに一杯食わされた。	I was deceived by him.
途方	トホウ	私は途方に暮れた。	I was at my wit's end.
昼間	ヒルマ	昼間は働いてます。	I work during the day.
マック	マック	マックで働いてるよ。	I work for McDonald's.
マクドナルド	マクドナルド	マクドナルドで働いてるんだ。	I work for McDonald's.
以後	イゴ	以後こんなことはいたしません。	I won't do this again.
チェックアウト	チェックアウト	チェックアウトお願いします。	I'd like to check out.
賭ける	カケル	賭けてもいいよ。	I'd bet my life on it.
状況	ジョウキョウ	状況は最悪だ。	The situation is ugly.
道案内	ミチアンナイ	道案内してあげるよ。	I'll show you the way.
大学生	ダイガクセイ	大学生です。	I'm a college student.
印刷	インサツ	すぐ印刷します。	I'll print it quickly.
高所	コウショ	高所恐怖症なんだ。	I'm afraid of heights.
恐怖症	キョウフショウ	高所恐怖症なんだ。	I'm afraid of heights.
凍え死ぬ	コゴエシニ	凍え死にそう。	I'm freezing to death.
影響	エイキョウ	喫煙は健康に影響する。	Smoking affects our health.
語学	ゴガク	語学は得意だよ。	I'm good at languages.
来月	ライゲツ	来月子供を生みます。	She will have a baby next month.
ジョン	ジョン	ジョンは私の２個上。	John's two years older than me.
争う	アラソウ	私は彼と優勝を争った。	I competed with him for the championship.
あんま	アンマ	それあんま関係なくない？	That's not really the issue, is it?
騒音	ソウオン	私は騒音になれている。	I'm used to the noise.
ウォーキング	ウォーキング	今、ウォーキング中。	I'm walking right now.
物忘れ	モノワスレ	物忘れがひどいんです。	I've become forgetful.
ブラックリスト	ブラックリスト	ブラックリストに載ってしまった。	I've been blacklisted.
発見	ハッケン	私は発見をした。	I've made a discovery.
何度	ナンド	あなたの体温は何度？	What's your temperature?
カンカン	カンカン	トムって、私のことカンカンに怒ってる？	Is Tom very mad at me?
ガチ	ガチ	トムって、私にガチでキレてる？	Is Tom very mad at me?
直行便	チョッコウビン	それは直行便ですか。	Is it a direct flight?
インストール	インストール	インストールは簡単ですか？	Is it easy to install?
アクション	アクション	それはアクション映画なの？	Is it an action movie?
見合う	ミアッ	見合った価値があるか？ないか？	Is it worth it or not?
ピーナッツバター	ピーナッツバター	それって、ピーナッツバターなの？	Is that peanut butter?
歯ブラシ	ハブラシ	それは僕の歯ブラシですか？	Is that my toothbrush?
香水	コウスイ	香水つけてる？	Are you wearing perfume?
サテン	サテン	それがサテンのドレス？	Is that a satin dress?
寝室	シンシツ	あれはトムの寝室？	Is that Tom's bedroom?
ドレスコード	ドレスコード	ドレスコードはありますか？	Is there a dress code?
ルームメート	ルームメイト	あの人がルームメイトなの？	Is that your roommate?
スクールバス	スクールバス	スクールバスがあるの？	Is there a school bus?
生き物	イキモノ	火星に生き物はいるの？	Is there life on Mars?
ねんね	ネンネ	赤ちゃん、ねんねしてるの？	Is your baby sleeping?
霜	シモ	ゆうべ霜が降りた。	It frosted last night.
大成功	ダイセイコウ	大成功だった。	It was a huge success.
詐欺	サギ	詐欺臭いな。	It sounds like a scam.
夜中	ヨナカ	夜中過ぎだったよ。	It was after midnight.
土曜	ドヨウ	土曜の夜だった。	It was Saturday night.
骨	ホネ	彼は犬に骨をやった。	He gave the dog a bone.
温か	アタタカ	晴れていて暖かでした。	It was sunny and warm.
症状	ショウジョウ	よくある症状です。	It's a common symptom.
筋	スジ	筋が通ってないだろう。	It would be illogical.
懐中電灯	カイチュウデントウ	誰か懐中電灯持ってない？	Does anyone have a flashlight?
一種	イッシュ	これはパンの一種だ。	This is a kind of bread.
時間帯	ジカンタイ	毎日働く時間帯が違うんです。	I work different hours every day.
ラッシュアワー	ラッシュアワー	もうすぐラッシュアワーの時間帯に入る。	It's almost rush hour.
道徳	ドウトク	それは道徳上の問題だ。	It's a moral question.
好物	コウブツ	それは、わたしの好物です。	It's my favorite food.
見積もり	ミツモリ	あくまでも見積もりです。	It's only an estimate.
飽くまで	アクマデ	あくまでも見積もりです。	It's only an estimate.
梅雨	ツユ	梅雨です。	It's the rainy season.
時期	ジキ	今話すのは時期尚早だ。	It's too soon to tell.
尚早	ショウソウ	今話すのは時期尚早だ。	It's too soon to tell.
イタリアン	イタリアン	イタリアンパスタは旨いよ。	Italian pasta is delicious.
取り付く	トッツキ	とても取っ付き易いよ。	It's very easy to use.
木星	モクセイ	木星は巨大だ。	Jupiter is very large.
き	シ	ちょっとここに置かしといて。	Just put it down here.
島国	シマグニ	日本は島国だ。	Japan is an island country.
取り敢えず	トリアエズ	とりあえず、忘れましょう。	Let's forget it for now.
取り	トリ	弁護士は高給取りだ。	Lawyers are well paid.
有袋類	ユウタイルイ	コアラは有袋類なんだよ。	Koalas are marsupials.
金柑	キンカン	キンカンって美味しいよ。	Kumquats is delicious.
逃がす	ニガス	好機を逃がすな。	Strike while the iron's hot.
換気	カンキ	換気しろよ。	Let some fresh air in.
祟る	タタリ	触らぬ神に祟りなし。	Let sleeping dogs lie.
かえる	カエ	洗剤かえた？	Did you change detergents?
河岸	カシ	ちょいとここらで河岸をかえましょうや。	Let's get out of here.
試し	タメシ	物は試し。	You'll never know unless you try.
論議	ロンギ	論議を終えましょう。	Let's end this debate.
洋服	ヨウフク	お洋服着ましょうね。	Let's get you dressed.
ビーチ	ビーチ	ビーチに行きましょう。	Let's go to the beach.
寝転がる	ネコロガロウ	砂の上に寝転がろうよ。	Let's lie on the sand.
バレーボール	バレーボール	バレーボールは得意？	Are you good at volleyball?
後回し	アトマワシ	食事は後回しにしよう。	Let's postpone dinner.
栗	クリ	栗を焼こう。	Let's roast chestnuts.
値札	ネフダ	値札を見て。	Look at the price tag.
花見	ハナミ	あのお花見て。	Look at those flowers.
円盤	エンバン	見て！空飛ぶ円盤よ！	Look! A flying saucer!
ワーキングママ	ワーキングママ	メアリーはワーキングママです。	Mary is a working mom.
印	シルシ	正解に印をつけてください。	Please mark the correct answer.
ワーキングマザー	ワーキングマザー	メアリーはワーキングマザーです。	Mary is a working mom.
アカウント	アカウント	アカウントがBANされた。	My account got banned.
BAN	ビーエーエヌ	アカウントがBANされた。	My account got banned.
寮	リョウ	同じ寮なんだ。	We all live in the same dorm.
食生活	ショクセイカツ	食生活を変えるべき？	Do I have to change my diet?
健康的	ケンコウテキ	トムはいつも健康的です。	Tom is always healthy.
人差し指	ヒトサシユビ	人差し指が痛い。	My index finger hurts.
ミドルネーム	ミドルネーム	僕のミドルネームはトムです。	My middle name is Tom.
リュックサック	リュックサック	僕のリュックサック、めっちゃ重たいんだ。	My pack is very heavy.
リュック	リュック	彼女はリュックを背負っている。	She is carrying a backpack on her back.
筋肉痛	キンニクツウ	全身筋肉痛だ。	My whole body is sore.
真下	マシタ	私の部屋はこの真下です。	My room is just below.
擦り減る	スリヘッ	靴がすり減った。	My shoes are worn out.
右手	ミギテ	右手がしびれます。	My right hand is numb.
生き甲斐	イキガイ	仕事が生き甲斐です。	My work is my passion.
前もって	マエモッテ	前もってお知らせします。	I'll let you know beforehand.
コントロール	コントロール	コントロールを失い始めた。	I began to lose control.
傾ける	カタムケル	それに全身全霊を傾けた。	He put all his heart and soul into it.
思い浮かぶ	オモイウカバ	何も思い浮かばない。	Nothing comes to mind.
豚	ブタ	豚は小屋にいない。	The pigs aren't in the pen.
内密	ナイミツ	ご内密にお願いします。	Please keep it secret.
暗証番号	アンショウバンゴウ	暗証番号を入力してください。	Please enter your PIN.
用紙	ヨウシ	用紙に自分の名を記入した。	I filled in my name on the form.
キャンドル	キャンドル	キャンドルに火を灯してください。	Please light a candle.
灯す	トモス	やろうともしてないですね。	You haven't even tried.
プライバシー	プライバシー	プライバシーなんて存在しない。	Privacy doesn't exist.
ペスト	ペスト	ネズミはペストを媒介します。	Rats carry the plague.
媒介	バイカイ	ネズミはペストを媒介します。	Rats carry the plague.
塗り	ヌリ	日焼け止め塗りな。	Put on some sunscreen.
繁殖	ハンショク	うさぎは繁殖が早い。	Rabbits breed quickly.
流行	リュウコウ	流行はすぐ変わります。	Fashions change quickly.
幻想	ゲンソウ	幻想の命は短い。	Illusions are short lived.
体験	タイケン	あなたの体験を教えて。	Share your experience.
カタログ	カタログ	カタログを送ってください。	Please send me a catalog.
達する	タッスル	彼女は目的を達した。	She achieved her goal.
劇	ゲキ	その劇は好評だった。	That play was popular.
船便	フナビン	船便で出してください。	Send this by sea mail.
